epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,3.56807,1.43103,0.5,1,1.3435,0.0001125,0.0001125,0.0001125
2,7.24829,1.3429,0.5,1,1.15772,0.000232798,0.000232798,0.000232798
3,10.6903,1.26597,0.5,1,1.06752,0.000348145,0.000348145,0.000348145
4,14.3856,1.18546,0.5,1,0.99332,0.000458542,0.000458542,0.000458542
5,19.0368,1.10349,0.5,1,0.98641,0.00056399,0.00056399,0.00056399
6,23.5441,1.0406,0.375,1,1.0363,0.000664488,0.000664488,0.000664488
7,27.7634,0.98656,0.375,1,1.06794,0.000760035,0.000760035,0.000760035
8,32.0463,0.95281,0.375,1,1.34121,0.000850632,0.000850632,0.000850632
9,36.2247,0.90572,0.375,1,1.62671,0.00093628,0.00093628,0.00093628
10,39.9841,0.93494,0.375,1,1.70392,0.00101698,0.00101698,0.00101698
11,43.8,0.83395,0.375,1,1.63973,0.0010025,0.0010025,0.0010025
12,47.5673,0.81854,0.375,1,1.68895,0.00097775,0.00097775,0.00097775
13,51.2675,0.87968,0.375,1,1.93554,0.000953,0.000953,0.000953
14,55.035,0.78089,0.375,1,2.18638,0.00092825,0.00092825,0.00092825
15,58.8508,0.88644,0.375,1,2.62358,0.0009035,0.0009035,0.0009035
16,62.6668,0.83203,0.375,1,2.87454,0.00087875,0.00087875,0.00087875
17,66.4175,0.79301,0.375,1,2.95936,0.000854,0.000854,0.000854
18,70.2414,0.77294,0.375,1,2.73187,0.00082925,0.00082925,0.00082925
19,73.9174,0.80614,0.375,1,2.83114,0.0008045,0.0008045,0.0008045
20,77.6896,0.80269,0.375,1,2.77686,0.00077975,0.00077975,0.00077975
21,81.4153,0.84527,0.375,1,2.96146,0.000755,0.000755,0.000755
22,85.2173,0.79612,0.375,1,2.77291,0.00073025,0.00073025,0.00073025
23,88.9507,0.80967,0.375,1,2.64244,0.0007055,0.0007055,0.0007055
24,92.6663,0.80677,0.375,1,2.4298,0.00068075,0.00068075,0.00068075
25,96.3675,0.75982,0.375,1,2.17697,0.000656,0.000656,0.000656
26,100.135,0.78216,0.375,1,2.19369,0.00063125,0.00063125,0.00063125
27,103.868,0.78665,0.375,1,2.24914,0.0006065,0.0006065,0.0006065
28,107.61,0.77749,0.375,1,2.3312,0.00058175,0.00058175,0.00058175
29,111.396,0.85044,0.375,1,2.35989,0.000557,0.000557,0.000557
30,115.182,0.82857,0.375,1,2.24684,0.00053225,0.00053225,0.00053225
31,118.918,0.81551,0.375,1,2.1768,0.0005075,0.0005075,0.0005075
32,122.689,0.77117,0.375,1,2.03579,0.00048275,0.00048275,0.00048275
33,126.393,0.80259,0.375,1,2.15083,0.000458,0.000458,0.000458
34,130.151,0.80652,0.375,1,2.18638,0.00043325,0.00043325,0.00043325
35,133.884,0.84398,0.375,1,2.15856,0.0004085,0.0004085,0.0004085
36,137.708,0.76479,0.375,1,2.07365,0.00038375,0.00038375,0.00038375
37,141.472,0.76863,0.375,1,2.04942,0.000359,0.000359,0.000359
38,145.291,0.81265,0.375,1,2.12708,0.00033425,0.00033425,0.00033425
39,149.033,0.78041,0.375,1,2.22197,0.0003095,0.0003095,0.0003095
40,152.799,0.78748,0.375,1,2.19959,0.00028475,0.00028475,0.00028475
41,156.534,0.82309,0.375,1,2.29005,0.00026,0.00026,0.00026
42,160.29,0.76818,0.375,1,2.29622,0.00023525,0.00023525,0.00023525
43,164.001,0.74743,0.375,1,2.31433,0.0002105,0.0002105,0.0002105
44,167.815,0.77068,0.375,1,2.35226,0.00018575,0.00018575,0.00018575
45,171.5,0.74077,0.375,1,2.39709,0.000161,0.000161,0.000161
46,175.301,0.74357,0.375,1,2.43307,0.00013625,0.00013625,0.00013625
47,179.076,0.74606,0.375,1,2.46022,0.0001115,0.0001115,0.0001115
48,182.951,0.82094,0.375,1,2.42403,8.675e-05,8.675e-05,8.675e-05
49,186.734,0.75387,0.375,1,2.49932,6.2e-05,6.2e-05,6.2e-05
50,190.534,0.7327,0.375,1,2.42554,3.725e-05,3.725e-05,3.725e-05
