epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
15,461.358,2.50765,3.16745,2.40634,0.03171,0.09091,0.02485,0.00494,3.21652,4.25969,3.66474,0.0014456,0.0014456,0.0014456
16,490.298,2.44312,3.10303,2.4116,0.00942,0.36364,0.00799,0.00149,3.0439,4.76433,3.40727,0.001406,0.001406,0.001406
17,523.037,2.71717,2.95296,2.44717,0.02916,0.09091,0.01849,0.00739,3.13321,4.19543,3.26894,0.0013664,0.0013664,0.0013664
18,552.687,2.43136,3.07046,2.28182,0.00563,0.27273,0.00811,0.00185,3.15437,4.00914,3.62273,0.0013268,0.0013268,0.0013268
19,581.551,2.38798,2.94127,2.22361,0.01946,0.36364,0.05912,0.02124,2.87473,3.94697,3.12623,0.0012872,0.0012872,0.0012872
20,610.32,2.41477,2.96692,2.25623,0.00376,0.81818,0.01209,0.00214,2.98834,4.00664,3.1708,0.0012476,0.0012476,0.0012476
21,640.377,2.40429,2.81407,2.22134,0.00292,0.63636,0.0059,0.00148,3.04394,4.1113,2.85669,0.001208,0.001208,0.001208
22,669.787,2.33839,2.97955,2.21518,0.02565,0.18182,0.03582,0.01127,3.1551,3.72465,2.79852,0.0011684,0.0011684,0.0011684
23,698.869,2.38173,2.80146,2.28256,0.03303,0.09091,0.02978,0.00642,3.02212,3.81133,3.26439,0.0011288,0.0011288,0.0011288
24,727.767,2.35637,2.85933,2.29675,0.01013,0.18182,0.01339,0.00199,3.08693,4.36615,3.26212,0.0010892,0.0010892,0.0010892
25,757.762,2.40326,2.80622,2.27681,0.01936,0.18182,0.02695,0.0062,2.93678,3.73918,2.94233,0.0010496,0.0010496,0.0010496
26,786.232,2.32236,2.72141,2.26146,0.00849,0.18182,0.0106,0.00252,2.71319,3.991,2.8069,0.00101,0.00101,0.00101
27,814.847,2.32664,2.65463,2.22468,0.01447,0.18182,0.02416,0.00501,2.78993,3.81167,2.72819,0.0009704,0.0009704,0.0009704
28,843.527,2.19984,2.71838,2.17232,0.07845,0.09091,0.04674,0.01018,2.74765,3.59013,2.7959,0.0009308,0.0009308,0.0009308
29,872.546,2.21362,2.5848,2.14174,0.0232,0.36364,0.03773,0.0058,3.13153,3.62175,2.89063,0.0008912,0.0008912,0.0008912
30,901.442,2.24974,2.69764,2.167,0.0049,0.63636,0.01521,0.00226,3.16636,3.86682,3.02635,0.0008516,0.0008516,0.0008516
31,931.091,2.1903,2.50379,2.12171,0.0283,0.27273,0.02266,0.00496,2.96197,3.65018,2.9175,0.000812,0.000812,0.000812
32,968.501,2.23925,2.60134,2.14664,0.03719,0.54545,0.05848,0.00997,2.64565,3.45147,2.5153,0.0007724,0.0007724,0.0007724
33,1007.13,2.12729,2.60562,2.04366,0.02237,0.45455,0.0423,0.01218,2.72212,3.40154,2.59573,0.0007328,0.0007328,0.0007328
34,1045.91,2.21834,2.59658,2.12077,0.0377,0.27273,0.1131,0.03309,2.55141,3.63887,2.62109,0.0006932,0.0006932,0.0006932
35,1086.84,2.24999,2.56621,2.12401,0.20019,0.09091,0.11091,0.04123,2.51322,3.60636,2.51668,0.0006536,0.0006536,0.0006536
36,1134.4,2.14115,2.55663,2.06664,0.26611,0.09091,0.05645,0.02153,2.64759,3.57054,2.70439,0.000614,0.000614,0.000614
37,1175.96,2.12186,2.48489,2.06791,0.02359,0.45455,0.03408,0.00916,2.52698,3.36686,2.64643,0.0005744,0.0005744,0.0005744
38,1213.92,2.04685,2.44096,1.96709,0.02819,0.45455,0.06194,0.01024,2.6993,3.48099,2.77042,0.0005348,0.0005348,0.0005348
39,1249.49,2.05874,2.42745,1.99632,0.35,0.09091,0.12441,0.01443,2.87884,3.58838,2.98609,0.0004952,0.0004952,0.0004952
40,2605.91,2.01701,2.44748,1.98034,0.00261,0.45455,0.00665,0.00197,2.94438,3.71546,2.84234,0.0004556,0.0004556,0.0004556
41,2636.57,2.12577,2.55129,2.12444,0.07893,0.09091,0.09916,0.01082,3.08521,3.6872,3.01954,0.000416,0.000416,0.000416
42,2681.55,2.10972,2.47436,2.07571,0.0125,0.09091,0.01933,0.00698,2.9548,3.8797,3.04026,0.0003764,0.0003764,0.0003764
43,2712.5,2.16963,2.4671,2.11889,0.02073,0.18182,0.02801,0.00853,2.95133,3.70572,2.99451,0.0003368,0.0003368,0.0003368
44,2742.69,2.00939,2.41995,2.09261,0.11189,0.09091,0.04172,0.00891,3.16299,3.60123,3.06197,0.0002972,0.0002972,0.0002972
45,2772.56,2.10568,2.41038,2.05933,0.35162,0.09091,0.05793,0.00859,3.17776,3.61693,3.07943,0.0002576,0.0002576,0.0002576
46,2802.68,2.04748,2.38121,2.07506,0.18799,0.18182,0.1011,0.01663,3.15899,3.47373,3.01122,0.000218,0.000218,0.000218
47,2832.71,2.00841,2.41313,2.02794,0.29505,0.09091,0.05882,0.00884,3.07157,3.51491,2.93637,0.0001784,0.0001784,0.0001784
48,2862.71,1.97722,2.36655,2.01686,0.1767,0.09091,0.04445,0.00697,3.05732,3.48649,2.96096,0.0001388,0.0001388,0.0001388
49,2892.89,1.99098,2.42115,2.10939,0.30872,0.09091,0.06099,0.00898,3.08543,3.44786,2.96677,9.92e-05,9.92e-05,9.92e-05
50,2922.83,2.01297,2.31323,2.0339,0.38538,0.09091,0.06049,0.00951,2.98982,3.48219,2.8799,5.96e-05,5.96e-05,5.96e-05
