epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,31.3664,2.48606,4.22921,2.47904,0.00125,0.27273,0.00063,0.00011,3.1843,5.08183,3.17396,0.00014,0.00014,0.00014
2,67.0337,2.59506,4.18506,2.4238,0.00333,0.72727,0.02586,0.00297,3.28253,4.67639,2.94829,0.00029406,0.00029406,0.00029406
3,99.7819,2.51646,3.81633,2.33686,0.00292,0.63636,0.00302,0.00056,3.40371,4.84387,3.16698,0.000441784,0.000441784,0.000441784
4,134.386,2.36159,3.68525,2.31161,0.00208,0.45455,0.00141,0.00039,3.2533,4.97123,3.14426,0.000583172,0.000583172,0.000583172
5,164.029,2.37753,3.54267,2.31802,0.0025,0.54545,0.00162,0.00047,2.74736,5.02742,2.59462,0.000718224,0.000718224,0.000718224
6,192.941,2.37031,3.43353,2.28337,0.00083,0.18182,0.01368,0.00278,2.82467,4.88383,2.87735,0.00084694,0.00084694,0.00084694
7,221.897,2.51068,3.49818,2.32758,0.00167,0.36364,0.05564,0.01016,2.94823,5.06064,3.043,0.00096932,0.00096932,0.00096932
8,250.774,2.40798,3.3682,2.24238,0.01167,0.36364,0.0063,0.00153,2.8849,5.31775,5.42929,0.00108536,0.00108536,0.00108536
9,279.694,2.52828,3.40806,2.29311,0.00292,0.63636,0.02712,0.01183,2.81032,4.74113,3.28021,0.00119507,0.00119507,0.00119507
10,314.334,2.50257,3.39872,2.27169,0.00728,0.27273,0.00588,0.00125,3.03709,8.81188,4.33962,0.00129844,0.00129844,0.00129844
11,344.517,2.55179,3.28009,2.35619,0.01692,0.18182,0.00918,0.00308,2.70459,7.19001,4.784,0.00139548,0.00139548,0.00139548
12,373.987,2.37302,3.17157,2.3221,0.00292,0.63636,0.0072,0.00163,3.06866,4.96095,3.47983,0.00148618,0.00148618,0.00148618
13,403.343,2.50462,3.33508,2.42283,0.06778,0.09091,0.03569,0.00555,3.18965,5.6466,4.47718,0.0015248,0.0015248,0.0015248
14,432.3,2.49613,3.19564,2.39031,0.01832,0.09091,0.01103,0.00264,3.11434,7.39913,4.11365,0.0014852,0.0014852,0.0014852
