epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,2.91003,0.74492,0.75,1,0.59019,6.668e-05,6.668e-05,6.668e-05
2,6.12933,0.69413,1,1,0.45363,0.000147059,0.000147059,0.000147059
3,10.5354,0.57828,1,1,0.33107,0.000224138,0.000224138,0.000224138
4,14.8376,0.53557,1,1,0.27528,0.000297916,0.000297916,0.000297916
5,19.1104,0.46148,1,1,0.22381,0.000368394,0.000368394,0.000368394
6,23.3843,0.40758,1,1,0.21264,0.00043557,0.00043557,0.00043557
7,27.6704,0.33891,0.75,1,0.26991,0.000499447,0.000499447,0.000499447
8,31.8051,0.30683,0.75,1,0.4125,0.000560022,0.000560022,0.000560022
9,36.0954,0.26084,0.75,1,0.52309,0.000617297,0.000617297,0.000617297
10,40.4555,0.18971,0.75,1,0.60898,0.000671271,0.000671271,0.000671271
11,44.86,0.13583,0.75,1,0.63378,0.000721944,0.000721944,0.000721944
12,49.1175,0.12373,0.75,1,0.71927,0.000769317,0.000769317,0.000769317
13,53.206,0.13495,0.75,1,0.77965,0.000813389,0.000813389,0.000813389
14,57.5749,0.10865,0.75,1,0.93387,0.000854161,0.000854161,0.000854161
15,61.8354,0.07039,0.75,1,1.19663,0.000891632,0.000891632,0.000891632
16,64.648,0.09749,0.75,1,1.29556,0.000925802,0.000925802,0.000925802
17,67.6005,0.10506,0.75,1,1.40758,0.000956671,0.000956671,0.000956671
18,71.8352,0.13205,0.75,1,1.28266,0.00098424,0.00098424,0.00098424
19,76.1754,0.05628,0.75,1,1.04526,0.00100851,0.00100851,0.00100851
20,80.5872,0.10297,0.75,1,0.7271,0.00102948,0.00102948,0.00102948
21,84.3651,0.11459,0.75,1,0.63911,0.00100687,0.00100687,0.00100687
22,88.382,0.09222,0.75,1,0.75701,0.000973861,0.000973861,0.000973861
23,90.7088,0.10123,0.75,1,1.02206,0.000940855,0.000940855,0.000940855
24,93.3551,0.1391,0.75,1,1.40932,0.000907848,0.000907848,0.000907848
25,96.0675,0.05358,0.75,1,1.66095,0.000874842,0.000874842,0.000874842
26,99.0263,0.18031,0.75,1,1.95561,0.000841835,0.000841835,0.000841835
27,101.269,0.05926,0.75,1,2.15438,0.000808828,0.000808828,0.000808828
28,103.359,0.20445,0.75,1,2.06084,0.000775822,0.000775822,0.000775822
29,105.504,0.04514,0.75,1,1.91988,0.000742815,0.000742815,0.000742815
30,108.004,0.07013,0.75,1,1.85803,0.000709809,0.000709809,0.000709809
31,110.407,0.0584,0.75,1,1.79488,0.000676802,0.000676802,0.000676802
32,113.179,0.11735,0.75,1,1.65137,0.000643795,0.000643795,0.000643795
33,115.794,0.04976,0.75,1,1.58086,0.000610789,0.000610789,0.000610789
34,118.515,0.0543,0.75,1,1.59662,0.000577782,0.000577782,0.000577782
35,121.101,0.05639,0.75,1,1.58776,0.000544776,0.000544776,0.000544776
36,123.722,0.08823,0.75,1,1.65547,0.000511769,0.000511769,0.000511769
37,126.622,0.05327,0.75,1,1.69823,0.000478762,0.000478762,0.000478762
38,129.638,0.04014,0.75,1,1.74058,0.000445756,0.000445756,0.000445756
39,132.377,0.03559,0.75,1,1.85014,0.000412749,0.000412749,0.000412749
40,135.385,0.08125,0.75,1,1.95532,0.000379743,0.000379743,0.000379743
41,138.398,0.12252,0.75,1,2.03334,0.000346736,0.000346736,0.000346736
42,141.179,0.21844,0.75,1,2.17643,0.000313729,0.000313729,0.000313729
43,144.072,0.06039,0.75,1,2.1531,0.000280723,0.000280723,0.000280723
44,146.484,0.09016,0.75,1,2.1598,0.000247716,0.000247716,0.000247716
45,149.147,0.06487,0.75,1,2.24888,0.00021471,0.00021471,0.00021471
46,152.235,0.02912,0.75,1,2.17311,0.000181703,0.000181703,0.000181703
47,155.496,0.05035,0.75,1,2.17095,0.000148696,0.000148696,0.000148696
48,158.918,0.06377,0.75,1,2.14005,0.00011569,0.00011569,0.00011569
49,162.364,0.05735,0.75,1,2.14766,8.26832e-05,8.26832e-05,8.26832e-05
50,165.837,0.04076,0.75,1,2.15879,4.96766e-05,4.96766e-05,4.96766e-05
